GENRE	TEXT	LABEL	EXTRACTION
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_02_out.txt_0032	ita	Galeazzo Visconti
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_02_out.txt_0034	ita	Leonardo da Vinci
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_02_out.txt_0036	ita	Giulio Romano
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_02_out.txt_0038	ita	la Gandoglia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_02_out.txt_0040	ita	Pellegrini
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_02_out.txt_0042	ita	Carlo Borromeo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_02_out.txt_0044	ita	Pellegrini
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_03_out.txt_0002	ita	Pellegrini
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_03_out.txt_0004	ita	Giacomo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_03_out.txt_0006	ita	Gabriele de Medici
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_03_out.txt_0010	ita	Ricchini
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_03_out.txt_0012	ita	piazza
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_03_out.txt_0016	ita	semi
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_04_out.txt_0002	ita	Biblioteca Ambrosiana
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_04_out.txt_0004	ita	Santa Maria della Grazie
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_04_out.txt_0006	ita	da Vinci
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_04_out.txt_0008	ita	Visconti
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_04_out.txt_0012	ita	Visconti
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_04_out.txt_0014	ita	Cristoforo Rocci
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_04_out.txt_0016	ita	trasparente
