"GENRE"	"BOOK"	"LABEL"	"EXTRACTION"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0008"	"ita"	"Albergo della Stella"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0010"	"ita"	"acacia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0012"	"ita"	"fiaschi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0014"	"ita"	"Via del Orte"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0016"	"ita"	"Vasari"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0018"	"ita"	"Piero della Francesca"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0020"	"ita"	"Maria delle Grazie"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0022"	"ita"	"Benedetto da Maiano Andrea della Robbia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0024"	"ita"	"Parri di Spinello"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0026"	"ita"	"Messer Spinello"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0028"	"ita"	"Andrea della Robbia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0030"	"ita"	"Spinello s Madonna delle Grazie"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0032"	"ita"	"Umbria"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0034"	"ita"	"Piazza Signorelli"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0036"	"ita"	"Luca Signorelli"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0038"	"ita"	"Palazzo Pretorio"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0040"	"ita"	"Perugia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0042"	"ita"	"gnocchi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0046"	"ita"	"Luca Signorelli"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_03_out.txt_0048"	"ita"	"tremolo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0002"	"ita"	"Domenico"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0004"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0006"	"ita"	"Luca"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0008"	"ita"	"Quattrocento"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0010"	"ita"	"Fra Angelico"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0012"	"ita"	"fresco"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0014"	"ita"	"Marco"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0016"	"ita"	"Madonna"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0018"	"ita"	"loggia"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0020"	"ita"	"Angelico"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0022"	"ita"	"Filippo Brunelleschi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0024"	"ita"	"Duomo"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0026"	"ita"	"Piazza"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0028"	"ita"	"Santa Maria del Fiore"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0030"	"ita"	"Donatello"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0032"	"ita"	"Brunelleschi"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0034"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0036"	"ita"	"Cortona"
"TRAVEL NARRATIVE"	"A_Little_Pilgrimage_in_Italy.txt_04_out.txt_0038"	"ita"	"Donatello"
